,tag,score
1022,win_VERB,0.53418595
1133,ha_INTERJ,0.5426799
1401,eh_INTERJ,0.5587854
1469,mark_SUBST,0.56294435
1793,british_ADJ,0.5805227
2086,yep_INTERJ,0.5941044
2525,party_SUBST,0.6123232
2920,mine_PRON,0.62868845
3263,usually_ADV,0.640485
3594,wish_VERB,0.6503943
3864,county_SUBST,0.65916777
3936,game_SUBST,0.66111875
4011,matter_SUBST,0.663252
4058,save_VERB,0.66466814
4188,body_SUBST,0.6683469
4239,lose_VERB,0.66966057
4503,class_SUBST,0.67797387
4516,world_SUBST,0.67828643
4536,machine_SUBST,0.67871606
4614,early_ADV,0.6809591
4736,market_SUBST,0.6841568
5172,bear_VERB,0.6969408
5213,programme_SUBST,0.69825774
5383,obviously_ADV,0.702947
5500,show_VERB,0.70628864
5519,full_ADJ,0.7068672
5599,plan_SUBST,0.7091558
5608,mind_SUBST,0.7095468
5627,although_CONJ,0.7102421
5704,change_SUBST,0.71257895
5922,believe_VERB,0.7192563
5932,training_SUBST,0.7195733
6141,teacher_SUBST,0.72555417
6303,short_ADJ,0.73060405
6315,business_SUBST,0.7308223
6425,local_ADJ,0.73414135
6435,fire_SUBST,0.7344408
6568,sometimes_ADV,0.7388014
6696,fair_ADJ,0.7428075
6703,die_VERB,0.74313164
6828,health_SUBST,0.7467639
6871,late_ADJ,0.74819326
6874,phone_SUBST,0.7482378
6894,story_SUBST,0.74902695
7111,g_SUBST,0.75568676
7152,cover_VERB,0.7571339
7218,ninety_ADJ,0.75927395
7257,bill_SUBST,0.76037794
7295,paper_SUBST,0.76169646
7296,everybody_PRON,0.76180005
7327,company_SUBST,0.7628452
7401,far_ADJ,0.7648046
7415,certainly_ADV,0.7654077
7428,early_ADJ,0.7659877
7485,second_ADJ,0.76770747
7535,already_ADV,0.76919514
7544,figure_SUBST,0.76969403
7548,report_SUBST,0.7698841
7595,line_SUBST,0.7715608
7608,nobody_PRON,0.7718504
7652,life_SUBST,0.77343976
7655,mention_VERB,0.77346706
7688,hold_VERB,0.7746291
7720,whole_ADJ,0.7757107
7728,miss_VERB,0.77592963
7748,tonight_ADV,0.77651983
7778,office_SUBST,0.77760524
7814,letter_SUBST,0.7791728
7838,real_ADJ,0.7798205
7881,without_PREP,0.78146255
7895,system_SUBST,0.7821263
7917,price_SUBST,0.782921
7950,kid_SUBST,0.7839988
7991,service_SUBST,0.7861446
8002,absolutely_ADV,0.786481
8016,hope_VERB,0.7871608
8024,tape_SUBST,0.7873695
8053,e_SUBST,0.7888014
8088,change_VERB,0.79077303
8106,lady_SUBST,0.79159236
8124,fine_ADJ,0.7924551
8129,size_SUBST,0.79263985
8146,watch_VERB,0.79391605
8167,bloody_ADJ,0.79469055
8182,yesterday_ADV,0.7953279
8199,light_SUBST,0.796112
8204,town_SUBST,0.7964035
8220,hand_SUBST,0.797138
8244,policy_SUBST,0.7981586
8247,often_ADV,0.79821676
8250,hard_ADJ,0.79835665
8267,boy_SUBST,0.7992048
8306,expect_VERB,0.8009451
8309,picture_SUBST,0.80102336
8313,listen_VERB,0.801241
8327,person_SUBST,0.8019091
8328,government_SUBST,0.8019359
8344,shall_VERB,0.8026822
8389,war_SUBST,0.8044719
8391,wrong_ADJ,0.80452216
8425,family_SUBST,0.80655426
8500,carry_VERB,0.8100126
8509,far_ADV,0.8104529
8513,maybe_ADV,0.81052727
8514,meet_VERB,0.81053966
8517,shop_SUBST,0.81065094
8566,open_VERB,0.8130675
8572,special_ADJ,0.81343275
8579,dog_SUBST,0.8136759
8590,happy_ADJ,0.81425565
8591,read_VERB,0.8143157
8606,situation_SUBST,0.81504756
8608,idea_SUBST,0.8151466
8619,exactly_ADV,0.815758
8638,open_ADJ,0.8170112
8640,either_ADV,0.8171203
8655,wonder_VERB,0.8180231
8658,police_SUBST,0.8181836
8668,r_SUBST,0.81881976
8673,important_ADJ,0.819019
8681,twelve_ADJ,0.8193046
8702,worth_PREP,0.82004166
8711,bed_SUBST,0.8205495
8716,later_ADV,0.8208037
8722,member_SUBST,0.8210164
8726,seventy_ADJ,0.8215452
8730,level_SUBST,0.8218374
8736,page_SUBST,0.82223123
8754,david_SUBST,0.8234211
8756,sell_VERB,0.8235321
8762,around_PREP,0.82379955
8769,sixty_ADJ,0.8241381
8797,mind_VERB,0.82572794
8799,pass_VERB,0.8258176
8805,able_ADJ,0.82614684
8806,true_ADJ,0.8261973
8810,mrs_SUBST,0.8264914
8828,ring_VERB,0.82706237
8856,wan_VERB,0.8289103
8860,water_SUBST,0.8293006
8861,learn_VERB,0.82939124
8867,high_ADJ,0.8299945
8895,decide_VERB,0.8314969
8898,window_SUBST,0.8316666
8903,check_VERB,0.8319475
8914,home_SUBST,0.8329816
8935,room_SUBST,0.83469653
8956,become_VERB,0.8365294
8983,john_SUBST,0.8378875
8989,rest_SUBST,0.8381554
8995,table_SUBST,0.8386262
8996,cost_SUBST,0.8386265
8997,type_SUBST,0.83864045
9000,hang_VERB,0.8388609
9004,forget_VERB,0.8390239
9008,lots_PRON,0.83924896
9021,around_ADV,0.84004927
9029,reason_SUBST,0.8404685
9046,low_ADJ,0.8423855
9049,stuff_SUBST,0.8425113
9054,small_ADJ,0.84271777
9068,head_SUBST,0.84469503
9080,allow_VERB,0.8461168
9083,country_SUBST,0.8461824
9086,age_SUBST,0.8462593
9089,drive_VERB,0.8465974
9101,fall_VERB,0.84719074
9120,eighty_ADJ,0.84865814
9131,street_SUBST,0.84944385
9156,cut_VERB,0.85106015
9157,friend_SUBST,0.8511536
9166,understand_VERB,0.852207
9173,trouble_SUBST,0.8526281
9185,spend_VERB,0.8533694
9188,enough_ADV,0.85370547
9192,holiday_SUBST,0.85402215
9211,foot_SUBST,0.85541075
9212,quid_SUBST,0.85541844
9219,difference_SUBST,0.8561908
9223,thanks_SUBST,0.856545
9228,help_VERB,0.85722554
9229,cost_VERB,0.8572305
9250,need_SUBST,0.8601071
9258,quarter_SUBST,0.8610053
9261,fifteen_ADJ,0.8612295
9268,eighteen_ADJ,0.86179966
9272,whatever_PRON,0.8622396
9273,stand_VERB,0.86236656
9274,centre_SUBST,0.86240387
9281,box_SUBST,0.8630033
9286,ago_ADV,0.86347693
9290,easy_ADJ,0.8637696
9301,finish_VERB,0.8649702
9306,across_PREP,0.86533713
9310,wait_VERB,0.86610866
9312,interesting_ADJ,0.8662934
9313,eleven_ADJ,0.8664092
9316,past_PREP,0.86697143
9326,build_VERB,0.86834085
9327,break_VERB,0.86837524
9328,stay_VERB,0.8683976
9329,o'clock_ADV,0.86843634
9332,someone_PRON,0.8687349
9333,somewhere_ADV,0.8688177
9357,send_VERB,0.8721573
9358,agree_VERB,0.8726432
9361,mother_SUBST,0.8728398
9365,young_ADJ,0.87359804
9368,mummy_SUBST,0.8743413
9383,piece_SUBST,0.87680066
9388,hello_INTERJ,0.8771623
9391,together_ADV,0.8775728
9400,speak_VERB,0.878743
9408,meeting_SUBST,0.88122725
9410,afternoon_SUBST,0.8816361
9417,anybody_PRON,0.8830771
9437,set_VERB,0.88576376
9440,difficult_ADJ,0.8859753
9446,london_SUBST,0.8875746
9448,front_SUBST,0.88802457
9457,along_ADV,0.8892908
9470,funny_ADJ,0.8920548
9471,round_PREP,0.8921093
9480,long_ADV,0.89384544
9481,walk_VERB,0.8941772
9486,straight_ADV,0.8954775
9487,pick_VERB,0.89553547
9496,couple_SUBST,0.8979456
9500,pull_VERB,0.8983862
9507,saturday_SUBST,0.89934176
9517,back_SUBST,0.9015544
9520,home_ADV,0.90239614
9531,look_SUBST,0.90656704
9535,least_ADV,0.9090195
9542,top_SUBST,0.9127778
9551,friday_SUBST,0.9203366
9554,moment_SUBST,0.92801416
